row.names,geneid,genesymbol
360,ENSG00000224338.2,RP11-149P14.1
361,ENSG00000204624.6,PTCHD2
362,ENSG00000235643.1,RP1-69M21.2
363,ENSG00000116661.9,FBXO2
364,ENSG00000132879.9,FBXO44
365,ENSG00000116663.6,FBXO6
366,ENSG00000116670.10,MAD2L2
367,ENSG00000162490.6,DRAXIN
368,ENSG00000177674.11,AGTRAP
369,ENSG00000215910.3,C1orf167
370,ENSG00000177553.6,RP11-56N19.5
371,ENSG00000177000.6,MTHFR
372,ENSG00000011021.17,CLCN6
373,ENSG00000242349.1,NPPA-AS1
374,ENSG00000175206.6,NPPA
375,ENSG00000120937.8,NPPB
376,ENSG00000224904.1,RP5-934G17.6
377,ENSG00000199347.1,RNU5E-1
378,ENSG00000201801.1,RNU5E-4P
379,ENSG00000116685.11,KIAA2013
380,ENSG00000083444.12,PLOD1
381,ENSG00000116688.12,MFN2
382,ENSG00000270914.1,RP5-1077B9.5
383,ENSG00000116691.6,MIIP
384,ENSG00000202461.1,Y_RNA
385,ENSG00000243539.2,RN7SL649P
386,ENSG00000120949.10,TNFRSF8
387,ENSG00000201135.1,RNU6-777P
388,ENSG00000227875.2,RP11-426M1.2
389,ENSG00000028137.12,TNFRSF1B
390,ENSG00000263676.1,MIR4632
391,ENSG00000225196.2,RP5-1118D24.2
392,ENSG00000252969.1,SNORA70
393,ENSG00000048707.9,VPS13D
394,ENSG00000239149.1,SNORA59A
395,ENSG00000229484.1,RP5-888M10.2
396,ENSG00000162496.4,DHRS3
397,ENSG00000221340.1,RNU6ATAC18P
398,ENSG00000272482.1,RP11-474O21.5
399,ENSG00000204518.2,AADACL4
400,ENSG00000226166.2,RP11-474O21.2
401,ENSG00000188984.7,AADACL3
402,ENSG00000238771.1,snoU13
403,ENSG00000157330.5,C1orf158
404,ENSG00000116726.4,PRAMEF12
405,ENSG00000116721.9,PRAMEF1
406,ENSG00000228338.1,RP5-845O24.8
407,ENSG00000204513.5,PRAMEF11
408,ENSG00000231103.2,RP5-845O24.3
